현실형,탐구형,예술형,사회형,진취형,관습형
검사,검사,매력,검사,검사,검사
조립,사실,부족,계획,이상,전공
보안,의료,댄스,언어,계획,은행
언어,언어,계획,중요,경찰,이상
다음,음악,언어,음악,법조인,계획
드론,다음,중요,다음,호텔,경찰
학과,학과,음악,승무원,졸업,정리
가능,가능,학과,학과,음악,포렌식
말,말,가능,가능,중요,법조인
물리,생명체,글,간호사,다음,졸업
상품,물리,민감,말,도전,중요
생활,교수,책,생활,학과,음악
에너지,수업,말,수업,가능,다음
수업,식품,관찰,테스트,도움,학과
관찰,관찰,작성,식품,목표,가능
관련,해부,관련,관찰,경영,시행
응용,관련,문예,관련,희망,성적
오늘,이유,정신,이유,직원,안전
로봇,조사,영화,선생님,법,봉사
설계,사회,오늘,오늘,말,말
사회,생물,이번,환자,노력,양심
흥미,의학,영어,간호,생활,노력
게임,토론,디자인,교사,수업,회계사
범죄,미적분,사회,회사,식품,생활
개발,수의학,흥미,이번,관련,훈련
기계,자신,범죄,상담,자격,수업
자신,후,자신,조사,꿈,관련
기술,생각,후,사회,승객,치과
생각,사용,생각,자신,점수,정의
사용,일,사용,후,환자,행정
후,빅데이터,일,생각,영어,역사
일,자연,과,사용,사회,사서
기계공학,설명,시청,일,영업,영화
빅데이터,문제,문제,회복,자신,오늘
과,진로,진로,방사선,후,회사
프로그램,직업,건축,진로,생각,영어
문제,선택,직업,문제,사용,형사
진로,질병,디자인학,직업,기술,사회
건축,활동,창작,개인,일,범죄
직업,연구소,활동,질병,국제,매뉴얼
컴퓨터,치료,과정,활동,빅데이터,군인
가공,과정,감,부분,과,자신
공간,사람,사람,편집,지도,후
과정,정도,정도,보건,관광,생각
치료,협동,업무,치료,설명,사용
사람,지능,협동,과정,과제,기술
기술자,연구원,자유,사람,문제,일
협동,시작,지능,기법,판매,감사
지능,연구비,신체,교육과정,직업,공무원
시스템,실습,무대,현상,선택,설명
시작,실험,도서,지능,활동,행정학
신체,때,안정,심리,내용,비교
실습,작가,감독,상태,변호사,프로그램
제작,환경,관심,고민,치료,탐구
때,화학,미술,과목,과정,진로
작가,공학,감상,실습,홍보,나라
화학공학,산업,악기,때,사람,직업
화학,의사,때,작가,협동,선택
시간,시험,작가,치위생사,고민,자료
공학,분석,환경,의사,시작,활동
산업,업체,시간,예방,서비스,사관학교
관리,차,표현,산업,실천,내용
시험,생명과학,공학,시험,신체,치료
전문가,치과의사,산업,화합,과목,과정
제품,수학,촬영,수사,활용,사람
분석,점,시험,간호학,대학,정도
업체,능력,분석,능력,때,지능
전자공학,생명,강의,점,작가,심리
능력,과학,수학,수학,광고,고민
점,필요,점,관계,언어능력,시작
수학,분야,능력,대인,경제,경찰관
학생,수의사,과학,선생,기획,과목
필요,선생,관계,심리학,시간,안정
분야,창의성,필요,연구,관리,논리
생명공학,연구,창의성,대인관계,산업,대학
창의성,결과,예술,영상,의사,때
미래,영상,국어,복지사,시험,작가
동물,대학교,연구,친목,전문가,경제
연구,정보,영상,운동,업체,시간
결과,학교,방송,마음,차,관리
