현실형,탐구형,예술형,사회형,진취형,관습형
게임,과학,영상,교사,영어,검사
공간,수학,신체,학교,과정,경찰
결과,화학,행동,간호사,설명,수사
기술자,생명과학,음악,사회,꿈,공무원
기술자,연구원,미술,선생님,관리,경찰관
산업,연구원,운동,언어,계획,군인
정보,의사,마음,치료,법,범죄
공학,분석,디자인,조사,목표,관리
개발,식품,디자인학,생활,실천,행정
생명공학,조사,작가,이유,과제,논리
디지털,사실,국어,환자,자격,필수
설계,문제,책,마음,기획,회계사
건축,생명과학,글,고민,광고,자료
화학공학,수의사,강의,복지사,관광,형사
프로그램,이유,매력,개인,업체,사서
응용,의료,촬영,대인관계,직원,안전
신체,치과의사,시청,관계,활용,사관학교
행동,물리,패션,간호학,법조인,국가
컴퓨터,자연,예술,보건,도전,나라
에너지,의학,민감,예방,창의성,가치
로봇,실험,창의성,대인관계,홍보,역사
제작,환경,영화,간호,변호사,기관
창의성,수의학,악기,치위생사,돈,행정학
제품,미적분,감,상담,언어능력,안전
관찰,교수,정신,질병,국제,봉사
드론,연구소,관찰,건강,호텔,계획
상품,창의성,표현,심리,서비스,법조인
시스템,질병,도서,관찰,빅데이터,은행
기계공학,생물,정신,심리학,승객,양심
보안,관찰,감상,교육과정,희망,정의
가공,생명체,감독,방사선,지도,시행
실습,해부,협동,승무원,협동,안정
빅데이터,실습,자유,회복,요구,훈련
기계,빅데이터,창작,실습,영업,정리
협동,협동,문예,대인,판매,매뉴얼
동물,토론,댄스,화합,정치,절차
조립,연구,무대,친목,경영,감사
전자공학,연구비,작성,기법,경제,포렌식
